#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
scaffold336|size87854|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold338|size87321|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold339|size86905|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold340|size86767|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold341|size85674|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold343|size85494|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold344|size85464|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold342|size85609|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold345|size84958|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold346|size84728|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold348|size84225|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold349|size84221|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold350|size84102|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold351|size83961|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold352|size83836|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold353|size83603|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold354|size83122|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold468|size82985|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold531|size82540|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold355|size82493|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold356|size82215|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold358|size81710|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold360|size80334|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold520|size79982|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold362|size79137|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold364|size78869|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold365|size78838|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold366|size78790|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold367|size78596|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold593|size78451|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold368|size78029|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold369|size77695|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold371|size77373|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold372|size77218|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold373|size77198|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold374|size76675|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold536|size76463|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold375|size76503|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold376|size76323|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold377|size75916|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold378|size75403|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold379|size75330|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold380|size75130|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold382|size73958|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold384|size73550|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold385|size73430|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold386|size73190|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold387|size73123|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold603|size72853|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold388|size72838|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold572|size72606|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold390|size72559|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold393|size72464|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold587|size72345|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold562|size71539|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold396|size70673|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold397|size70628|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold398|size70599|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold399|size70472|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold605|size70230|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold401|size69798|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold403|size69617|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold404|size69571|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold405|size69394|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold408|size68489|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold618|size68569|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold574|size68283|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold409|size68201|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold613|size67804|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold411|size67833|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold412|size67703|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold414|size66048|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold415|size65988|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold416|size65644|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold417|size65183|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold418|size65160|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold420|size64554|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold421|size64443|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold419|size64592|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold422|size64126|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold425|size63870|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold424|size63872|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold426|size63153|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold427|size62764|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold429|size61980|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold431|size61107|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold700|size61070|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold432|size61037|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold433|size60989|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold435|size60065|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold437|size59701|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold588|size59584|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold439|size59210|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold442|size58930|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold443|size58818|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold445|size58573|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold440|size59046|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold446|size58496|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold447|size58347|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold448|size58067|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold449|size57886|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold452|size56583|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold454|size56544|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold723|size56261|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold725|size56250|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold455|size56249|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold456|size56114|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold458|size55921|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold460|size55852|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold461|size55747|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold462|size55724|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold463|size55562|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold464|size55373|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold465|size55289|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold735|size55114|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold466|size54846|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold467|size54827|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold469|size54405|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold470|size54307|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold472|size54197|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold473|size53598|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold474|size53584|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold830|size53537|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold475|size53338|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold476|size53230|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold477|size53009|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold478|size52933|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold479|size52781|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold480|size52268|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold680|size52206|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold481|size52164|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold482|size51986|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold483|size51975|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold484|size51952|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold485|size51896|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold487|size51826|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold486|size51833|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold488|size51812|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold489|size51646|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold490|size51251|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold692|size51232|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold491|size51220|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold492|size50770|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold493|size50554|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold655|size50339|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold494|size50061|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold495|size49535|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold497|size49506|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold498|size49455|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold499|size49399|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold500|size49070|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold501|size49040|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold502|size48969|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold503|size48913|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold504|size48846|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold505|size48709|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold506|size48647|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold507|size48643|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold508|size48602|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold509|size48528|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold513|size47610|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold514|size47505|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold515|size47346|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold516|size47149|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold517|size47004|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold519|size46965|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold518|size46974|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold521|size46588|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold523|size46470|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold522|size46488|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold525|size46279|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold746|size46214|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold526|size45794|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold527|size45760|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold528|size45698|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold529|size45572|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold530|size45275|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold532|size44955|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold533|size44906|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold534|size44804|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold535|size44711|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold540|size44160|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold539|size44194|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold541|size44141|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold537|size44353|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold542|size43744|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold543|size43638|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold546|size43014|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold544|size43045|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold547|size42993|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold545|size43039|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold548|size42912|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold549|size42827|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold551|size42053|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold552|size42010|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold553|size42009|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold554|size41968|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold556|size41774|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold555|size41782|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold550|size42282|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold559|size41411|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold558|size41451|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold560|size41404|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold561|size41383|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold563|size41337|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold564|size41293|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold565|size41269|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold566|size41065|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold570|size40529|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold567|size40582|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold568|size40537|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold569|size40532|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold571|size40265|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold573|size40015|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold575|size39838|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold576|size39535|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold578|size39524|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold577|size39529|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold582|size39239|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold579|size39459|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold580|size39268|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold581|size39264|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold583|size39150|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold584|size39002|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold585|size38752|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold586|size38739|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold589|size38305|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold590|size38118|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold591|size38087|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold592|size38035|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold594|size37532|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold595|size37099|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold596|size37061|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold597|size36959|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold598|size36777|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold599|size36599|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold600|size36593|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold601|size36509|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold602|size36471|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold604|size36293|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold606|size36058|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold607|size35997|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold608|size35973|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold609|size35919|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold611|size35796|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold610|size35823|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold612|size35717|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold614|size35487|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold615|size35429|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold616|size35287|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold617|size35224|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold619|size35093|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold620|size34983|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold622|size34903|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold621|size34919|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold623|size34890|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold624|size34758|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold625|size34346|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold626|size34278|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold627|size34177|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold628|size34081|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold629|size33883|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold630|size33654|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold632|size33577|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold631|size33579|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold634|size33526|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold633|size33529|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold635|size33338|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold636|size33328|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold637|size33264|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold638|size33145|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold639|size33143|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold640|size33111|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold641|size32755|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold642|size32717|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold643|size32665|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold645|size32551|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold644|size32606|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold646|size32440|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold647|size32403|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold648|size32396|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold650|size32355|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold649|size32357|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold652|size32335|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold651|size32339|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold658|size32037|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold653|size32194|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold654|size32128|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold656|size32092|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold657|size32065|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold659|size31984|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold660|size31975|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold661|size31961|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold662|size31941|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold663|size31939|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold664|size31751|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold665|size31701|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold666|size31696|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold668|size31556|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold669|size31527|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold667|size31572|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold670|size31437|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold671|size31330|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold672|size31299|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold674|size31244|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold673|size31246|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold675|size31208|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold676|size31185|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold677|size31137|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold679|size30838|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold681|size30811|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold682|size30777|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold678|size31085|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold683|size30601|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold685|size30533|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold684|size30557|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold686|size30468|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold687|size30416|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold688|size30406|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold689|size30329|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold690|size30310|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold693|size30254|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold691|size30279|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold694|size30228|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold695|size30135|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold696|size30048|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold697|size29946|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold698|size29895|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold699|size29895|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold701|size29733|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold702|size29683|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold703|size29609|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold704|size29498|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold705|size29324|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold706|size29305|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold707|size29196|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold708|size29119|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold709|size29105|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold711|size29074|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold710|size29081|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold712|size29001|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold713|size28992|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold714|size28968|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold715|size28924|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold717|size28839|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold716|size28841|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold718|size28825|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold719|size28805|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold720|size28761|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold721|size28688|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold722|size28662|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold724|size28562|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold726|size28480|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold727|size28326|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold728|size28315|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold729|size28263|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold730|size28213|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold731|size28155|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold732|size28140|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold734|size28099|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold733|size28125|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold736|size27910|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold737|size27900|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold739|size27764|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold738|size27789|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold742|size27446|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold740|size27597|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold741|size27455|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold744|size27431|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold743|size27441|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold745|size27324|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold748|size27201|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold747|size27210|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold749|size27160|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold750|size27144|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold751|size27138|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold753|size27085|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold754|size27077|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold755|size27055|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold756|size27035|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold757|size26971|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold758|size26902|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold759|size26809|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold760|size26791|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold761|size26772|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold762|size26769|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold764|size26591|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold769|size26271|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold763|size26600|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold765|size26571|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold766|size26529|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold767|size26290|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold768|size26272|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold771|size26190|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold770|size26191|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold772|size26189|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold774|size26126|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold773|size26143|pilon|pilon|pilon	-	-	-	-	KEEP
